algorithm,base_text,growing_text,base_text_size,growing_text_size,time,space
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,656508004,222789632
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,22147446,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15172081,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,657538788,222928896
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,21995069,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15238225,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,642191889,222928896
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,22158825,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15387383,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,647333413,222912512
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,21912922,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15077391,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,640617107,222908416
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,22068627,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15215903,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,642046049,222924800
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,22124992,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15282701,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,645896027,222937088
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,22064924,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15720055,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,645866491,222928896
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,21997746,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15194454,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,644450075,222932992
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,21869812,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15197211,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,644848189,222924800
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,22157793,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15291720,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,649494217,222932992
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,22024792,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15066963,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,646123369,222937088
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,22079577,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15216079,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,640653258,222932992
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,22295675,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15327863,3203072
memo,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,641216563,222928896
dp,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,21998574,6262784
dpopt,a_story_of_a_little_pet_bear,gift_of_the_magi,1000,1000,15610453,3203072
